Equipe,# JC,Age,Poss,MJ,Titulaire,Min,90,ButsP,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG
Ajax,21,26.0,61.4,8,88,720,8.0,21,16,37,20,1,1,15,0,19.0,18.2,14.1,32.2,179,509,2.62,2.00,4.62,2.50,4.50,2.37,1.76,4.13,2.27,4.03
Atalanta,21,28.2,52.0,6,66,540,6.0,12,11,23,12,0,0,9,0,10.2,10.2,8.8,19.0,133,262,2.00,1.83,3.83,2.00,3.83,1.70,1.46,3.16,1.70,3.16
Atlético Madrid,22,27.9,40.6,10,110,900,10.0,9,8,17,8,1,1,24,4,12.2,11.4,8.7,20.1,161,284,0.90,0.80,1.70,0.80,1.60,1.22,0.87,2.09,1.14,2.01
Barcelona,23,25.9,57.8,6,66,540,6.0,2,1,3,2,0,0,13,1,6.2,6.2,5.4,11.6,142,309,0.33,0.17,0.50,0.33,0.50,1.03,0.90,1.94,1.03,1.94
Bayern Munich,24,26.9,62.9,10,110,900,10.0,30,23,53,27,3,4,12,0,26.3,23.3,18.7,41.9,238,705,3.00,2.30,5.30,2.70,5.00,2.63,1.87,4.49,2.33,4.19
Benfica,24,27.7,38.9,10,110,900,10.0,13,10,23,12,1,1,20,0,11.8,11.0,8.6,19.6,155,278,1.30,1.00,2.30,1.20,2.20,1.18,0.86,2.04,1.10,1.96
Besiktas,26,28.0,44.2,6,66,540,6.0,3,2,5,2,1,1,16,2,6.2,5.4,5.0,10.4,98,177,0.50,0.33,0.83,0.33,0.67,1.03,0.83,1.86,0.90,1.73
Chelsea,24,27.4,61.0,10,110,930,10.3,21,15,36,19,2,2,14,0,19.0,17.4,15.4,32.8,226,572,2.03,1.45,3.48,1.84,3.29,1.83,1.49,3.33,1.68,3.18
Club Brugge,21,26.2,38.8,6,66,540,6.0,5,5,10,5,0,0,11,0,6.1,6.1,4.5,10.6,83,208,0.83,0.83,1.67,0.83,1.67,1.02,0.74,1.76,1.02,1.76
Dortmund,23,26.2,51.8,6,66,540,6.0,10,8,18,8,2,2,8,2,11.5,9.9,9.1,18.9,137,254,1.67,1.33,3.00,1.33,2.67,1.91,1.51,3.42,1.65,3.16
Dynamo Kyiv,23,25.5,41.2,6,66,540,6.0,1,1,2,1,0,0,10,0,4.2,4.2,3.1,7.3,82,175,0.17,0.17,0.33,0.17,0.33,0.69,0.52,1.21,0.69,1.21
Inter,22,29.0,49.1,8,88,720,8.0,9,6,15,9,0,0,12,2,12.8,12.8,9.4,22.1,146,389,1.13,0.75,1.87,1.13,1.87,1.59,1.17,2.77,1.59,2.77
Juventus,28,27.3,51.5,8,88,720,8.0,11,6,17,9,2,2,10,0,13.3,11.7,9.7,21.4,153,317,1.37,0.75,2.12,1.13,1.87,1.66,1.21,2.87,1.46,2.67
Lille,23,26.4,46.8,8,88,720,8.0,8,4,12,6,2,2,26,0,10.5,8.9,5.7,14.6,129,283,1.00,0.50,1.50,0.75,1.25,1.31,0.71,2.02,1.11,1.83
Liverpool,28,27.3,61.8,13,143,1170,13.0,28,21,49,27,1,2,15,0,27.3,25.8,20.6,46.3,291,740,2.15,1.62,3.77,2.08,3.69,2.10,1.58,3.68,1.98,3.56
Malmö,21,28.4,38.0,6,66,540,6.0,1,1,2,1,0,0,14,1,1.6,1.6,1.4,3.0,53,131,0.17,0.17,0.33,0.17,0.33,0.27,0.23,0.50,0.27,0.50
Manchester City,26,27.2,60.1,12,132,1110,12.3,28,23,51,26,2,2,22,1,26.6,25.1,20.3,45.3,338,757,2.27,1.86,4.14,2.11,3.97,2.16,1.64,3.80,2.03,3.68
Manchester Utd,31,27.2,53.9,8,88,720,8.0,12,11,23,12,0,0,17,1,9.4,9.4,7.4,16.9,133,314,1.50,1.37,2.87,1.50,2.87,1.18,0.93,2.11,1.18,2.11
Milan,23,26.0,46.8,6,66,540,6.0,5,4,9,5,0,0,17,1,5.8,5.8,3.8,9.6,91,160,0.83,0.67,1.50,0.83,1.50,0.96,0.63,1.60,0.96,1.60
Paris S-G,21,27.3,54.9,8,88,720,8.0,15,8,23,13,2,4,21,0,15.2,12.0,10.3,22.3,166,275,1.87,1.00,2.87,1.62,2.62,1.90,1.29,3.18,1.50,2.79
Porto,22,26.3,47.8,6,66,540,6.0,4,3,7,3,1,1,17,3,8.0,7.2,5.7,13.0,90,157,0.67,0.50,1.17,0.50,1.00,1.34,0.95,2.29,1.21,2.16
RB Leipzig,23,25.0,49.0,6,66,540,6.0,15,13,28,13,2,3,13,1,13.4,11.1,9.6,20.7,88,244,2.50,2.17,4.67,2.17,4.33,2.24,1.61,3.84,1.85,3.46
RB Salzburg,21,22.9,44.4,8,88,720,8.0,10,6,16,7,3,5,16,0,12.3,8.4,6.1,14.5,127,293,1.25,0.75,2.00,0.87,1.62,1.53,0.76,2.29,1.05,1.81
Real Madrid,25,28.0,51.1,13,143,1230,13.7,28,21,49,25,3,3,25,0,21.7,19.3,15.7,35.0,289,552,2.05,1.54,3.59,1.83,3.37,1.59,1.15,2.73,1.41,2.56
Sevilla,22,28.9,60.5,6,66,540,6.0,5,3,8,3,2,2,20,2,7.2,5.6,4.3,9.9,87,297,0.83,0.50,1.33,0.50,1.00,1.20,0.72,1.92,0.94,1.66
Shakhtar,25,25.2,58.8,6,66,540,6.0,2,2,4,2,0,0,5,0,6.8,6.8,6.3,13.1,146,291,0.33,0.33,0.67,0.33,0.67,1.14,1.04,2.18,1.14,2.18
Sheriff Tiraspol,19,26.0,29.8,6,66,540,6.0,7,5,12,7,0,0,13,0,4.4,4.4,3.4,7.8,89,100,1.17,0.83,2.00,1.17,2.00,0.73,0.57,1.30,0.73,1.30
Sporting CP,27,26.7,41.4,8,88,720,8.0,14,10,24,12,2,3,21,0,12.2,9.8,8.0,17.8,126,228,1.75,1.25,3.00,1.50,2.75,1.52,1.00,2.52,1.22,2.23
Villarreal,25,28.0,43.2,12,132,1080,12.0,20,16,36,18,2,2,26,2,19.4,18.0,15.3,33.4,184,320,1.67,1.33,3.00,1.50,2.83,1.62,1.28,2.90,1.50,2.78
Wolfsburg,21,26.1,43.2,6,66,540,6.0,5,4,9,5,0,0,25,2,4.8,4.8,3.5,8.3,79,160,0.83,0.67,1.50,0.83,1.50,0.81,0.58,1.39,0.81,1.39
Young Boys,24,25.6,50.0,6,66,540,6.0,7,4,11,7,0,0,11,0,7.4,7.4,5.7,13.0,111,244,1.17,0.67,1.83,1.17,1.83,1.23,0.95,2.17,1.23,2.17
Zenit,21,27.9,45.7,6,66,540,6.0,9,6,15,8,1,2,9,1,9.8,8.3,6.8,15.1,87,225,1.50,1.00,2.50,1.33,2.33,1.64,1.13,2.77,1.38,2.51
